Document,Cluster
VoenObozren2016_2019_1_0085.t,6
VoenObozren2016_2019_1_0086.t,8
VoenObozren2016_2019_1_0087.t,27
VoenObozren2016_2019_1_0088.t,30
VoenObozren2016_2019_1_0089.t,23
VoenObozren2016_2019_1_0090.t,2
VoenObozren2016_2019_1_0091.t,6
VoenObozren2016_2019_1_0092.t,1
VoenObozren2016_2019_1_0093.t,8
VoenObozren2016_2019_1_0094.t,8
VoenObozren2016_2019_1_0095.t,8
VoenObozren2016_2019_1_0096.t,8
VoenObozren2016_2019_1_0097.t,8
VoenObozren2016_2019_1_0098.t,8
VoenObozren2016_2019_1_0099.t,8
VoenObozren2016_2019_1_0101.t,8
VoenObozren2016_2019_1_0102.t,8
VoenObozren2016_2019_1_0103.t,8
VoenObozren2016_2019_1_0104.t,8
VoenObozren2016_2019_1_0105.t,8
VoenObozren2016_2019_1_0106.t,8
VoenObozren2016_2019_1_0107.t,6
VoenObozren2016_2019_1_0108.t,4
VoenObozren2016_2019_1_0109.t,2
VoenObozren2016_2019_1_0110.t,2
VoenObozren2016_2019_1_0111.t,6
VoenObozren2016_2019_1_0112.t,6
VoenObozren2016_2019_1_0113.t,8
VoenObozren2016_2019_1_0114.t,25
VoenObozren2016_2019_1_0115.t,2
VoenObozren2016_2019_1_0116.t,2
VoenObozren2016_2019_1_0117.t,8
VoenObozren2016_2019_1_0118.t,6
VoenObozren2016_2019_1_0119.t,2
VoenObozren2016_2019_1_0121.t,6
VoenObozren2016_2019_1_0122.t,6
VoenObozren2016_2019_1_0123.t,24
VoenObozren2016_2019_1_0124.t,2
VoenObozren2016_2019_1_0125.t,2
VoenObozren2016_2019_1_0126.t,2
VoenObozren2016_2019_1_0127.t,2
VoenObozren2016_2019_1_0128.t,2
VoenObozren2016_2019_1_0129.t,2
VoenObozren2016_2019_1_0130.t,2
VoenObozren2016_2019_1_0131.t,2
VoenObozren2016_2019_1_0132.t,2
VoenObozren2016_2019_1_0133.t,18
VoenObozren2016_2019_1_0134.t,8
VoenObozren2016_2019_1_0135.t,25
VoenObozren2016_2019_1_0136.t,2
VoenObozren2016_2019_1_0137.t,8
VoenObozren2016_2019_1_0138.t,4
VoenObozren2016_2019_1_0139.t,4
VoenObozren2016_2019_1_0140.t,4
VoenObozren2016_2019_1_0141.t,4
VoenObozren2016_2019_1_0142.t,4
VoenObozren2016_2019_1_0143.t,31
VoenObozren2016_2019_1_0144.t,4
VoenObozren2016_2019_1_0145.t,4
VoenObozren2016_2019_1_0146.t,12
VoenObozren2016_2019_1_0147.t,11
VoenObozren2016_2019_1_0148.t,8
VoenObozren2016_2019_1_0149.t,8
VoenObozren2016_2019_1_0150.t,10
VoenObozren2016_2019_1_0151.t,13
VoenObozren2016_2019_1_0152.t,9
VoenObozren2016_2019_1_0153.t,17
VoenObozren2016_2019_1_0154.t,6
VoenObozren2016_2019_1_0155.t,4
VoenObozren2016_2019_1_0156.t,8
VoenObozren2016_2019_1_0157.t,6
VoenObozren2016_2019_1_0158.t,6
VoenObozren2016_2019_1_0159.t,8
